Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Latvia,LVA,"Children out of school, primary",SE.PRM.UNER,2262,2406,2107,1854,1382,1421,1566,1525,1724,..
Lebanon,LBN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,"Children out of school, primary",SE.PRM.UNER,44983,45877,43461,37641,..,..,..,..,89723,96950
Liberia,LBR,"Children out of school, primary",SE.PRM.UNER,83486,..,156810,207887,..,..,259468,..,..,..
Libya,LBY,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,"Children out of school, primary",SE.PRM.UNER,44,1,6,3,3,2,11,16,..,..
Lithuania,LTU,"Children out of school, primary",SE.PRM.UNER,72,87,108,247,201,116,131,307,..,..
Luxembourg,LUX,"Children out of school, primary",SE.PRM.UNER,1100,969,985,1280,960,589,647,681,..,..
"Macao SAR, China",MAC,"Children out of school, primary",SE.PRM.UNER,1111,1032,639,721,656,2074,3591,5067,7072,..
Madagascar,MDG,"Children out of school, primary",SE.PRM.UNER,64714.2421875,67570.65625,70601.28125,74824.578125,79077,207817,119030,..,..,..
Malawi,MWI,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Malaysia,MYS,"Children out of school, primary",SE.PRM.UNER,141826,150723,139324,114106,86421,128231,107104,121231,145204,..
Maldives,MDV,"Children out of school, primary",SE.PRM.UNER,1898,1209.0439453125,1736,2006,1675,1482,1091,..,..,..
Mali,MLI,"Children out of school, primary",SE.PRM.UNER,1172333,1300528,1305793,1186318,1502333,..,..,..,..,..
Malta,MLT,"Children out of school, primary",SE.PRM.UNER,280,306,321,274,229,626,1015,1431,1988,..
Marshall Islands,MHL,"Children out of school, primary",SE.PRM.UNER,..,464,270,..,..,77,220,168,142,..
Mauritania,MRT,"Children out of school, primary",SE.PRM.UNER,179402,..,223427,203146,198642,228206,..,..,..,..
Mauritius,MUS,"Children out of school, primary",SE.PRM.UNER,2014,1687,936,1084,431,779,536,2675,..,..
Mexico,MEX,"Children out of school, primary",SE.PRM.UNER,42418,42584,42015,44745,34220,42275,38701,44228,45259,..
"Micronesia, Fed. Sts.",FSM,"Children out of school, primary",SE.PRM.UNER,1833,2528,1663,1761,682.523010253906,1240,2347,2219,2204,..
Moldova,MDA,"Children out of school, primary",SE.PRM.UNER,264,583,811,861,844,2537,1034,433,459,..
